date,open,high,low,close,volume
20191224 173000,1.29467,1.29569,1.29466,1.29554,8958
20191224 183000,1.29554,1.29634,1.29506,1.2963,11770
20191224 193000,1.2963,1.29683,1.29527,1.29536,9129
20191224 203000,1.29536,1.29712,1.29525,1.29671,9029
20191224 213000,1.29671,1.29684,1.29541,1.29585,6519
20191224 223000,1.29585,1.29598,1.29559,1.29588,78
20191226 093000,1.29588,1.29964,1.29588,1.29963,28
20191226 103000,1.29963,1.2997,1.29904,1.29906,3337
20191226 113000,1.29906,1.29922,1.29813,1.29897,5541
20191226 123000,1.29897,1.29902,1.29815,1.29821,4290
20191226 133000,1.29821,1.29825,1.29644,1.29682,10689
20191226 143000,1.29682,1.29726,1.29602,1.29631,11251
20191226 153000,1.29631,1.2973,1.29628,1.2968,5134
20191226 163000,1.2968,1.29957,1.29668,1.29853,6580
20191226 173000,1.29853,1.29933,1.29834,1.29896,5630
20191226 183000,1.29896,1.29999,1.29856,1.29996,6812
20191226 193000,1.29996,1.30161,1.29965,1.30054,7269
20191226 203000,1.30054,1.30158,1.30052,1.30087,6599
20191226 213000,1.30087,1.30147,1.30085,1.30138,4826
20191226 223000,1.30138,1.30141,1.3005,1.30058,3452
20191226 233000,1.30058,1.30068,1.3,1.30041,4762
20191227 003000,1.30041,1.30047,1.29899,1.29936,4425
20191227 013000,1.29936,1.29998,1.29923,1.29981,124
20191227 023000,1.29981,1.30037,1.2993,1.30011,5713
20191227 033000,1.30011,1.30043,1.29946,1.29967,8332
20191227 043000,1.29967,1.29974,1.29683,1.29788,9371
20191227 053000,1.29788,1.29956,1.29765,1.29895,6651
20191227 063000,1.29895,1.30007,1.29865,1.30003,4592
20191227 073000,1.30003,1.30076,1.2999,1.30054,3703
20191227 083000,1.30054,1.30055,1.2993,1.2995,3884
20191227 093000,1.2995,1.30145,1.29928,1.30084,7910
20191227 103000,1.30084,1.30398,1.30035,1.3038,13446
20191227 113000,1.3038,1.30757,1.30233,1.30655,25747
20191227 123000,1.30655,1.30714,1.30543,1.30704,17255
20191227 133000,1.30704,1.30736,1.30618,1.30695,14276
20191227 143000,1.30695,1.30794,1.30619,1.30783,13014
20191227 153000,1.30783,1.3101,1.30781,1.30953,16483
20191227 163000,1.30953,1.31063,1.30806,1.30876,18149
20191227 173000,1.30876,1.31077,1.3086,1.31046,13549
20191227 183000,1.31046,1.31175,1.30876,1.30937,22150
20191227 193000,1.30937,1.31016,1.30832,1.30894,16266
20191227 203000,1.30894,1.30971,1.30861,1.30924,9694
20191227 213000,1.30924,1.30991,1.309,1.30971,8535
20191227 223000,1.30971,1.31002,1.30848,1.30951,10956
20191227 233000,1.30951,1.30952,1.30737,1.30751,7837
20191228 003000,1.30751,1.30883,1.30727,1.30847,2975
20191229 223000,1.30847,1.30945,1.30847,1.3092,2
20191229 233000,1.3092,1.30945,1.30869,1.30921,5
20191230 003000,1.30921,1.30948,1.30892,1.3092,3
